time,account_name,cash,equity,open_positions
2024-12-05 19:25:00+00:00,account_1_no_decay,55123.4997418218,55142.681844715386,4
2024-12-05 19:30:00+00:00,account_1_no_decay,55123.4997418218,55080.95184424789,4
2024-12-05 19:35:00+00:00,account_1_no_decay,55123.4997418218,55163.23087053541,5
2024-12-05 19:40:00+00:00,account_1_no_decay,55123.4997418218,55232.076013975326,5
2024-12-05 19:45:00+00:00,account_1_no_decay,55123.4997418218,55288.30183805985,5
2024-12-05 19:50:00+00:00,account_1_no_decay,55123.4997418218,55246.61537818775,6
2024-12-05 19:55:00+00:00,account_1_no_decay,55123.4997418218,55253.755940227355,6
2024-12-05 20:00:00+00:00,account_1_no_decay,55054.852793737824,55100.33788171567,5
2024-12-05 20:05:00+00:00,account_1_no_decay,54985.94841906054,54920.421571514795,5
2024-12-05 20:10:00+00:00,account_1_no_decay,54985.94841906054,54925.61908734311,5
2024-12-05 20:15:00+00:00,account_1_no_decay,54917.30147097657,54857.69003573227,4
2024-12-05 20:20:00+00:00,account_1_no_decay,54779.57853030712,54638.90698661716,3
2024-12-05 20:25:00+00:00,account_1_no_decay,54779.57853030712,54792.35314961531,3
2024-12-05 20:30:00+00:00,account_1_no_decay,54779.57853030712,54821.76366418996,3
2024-12-05 20:35:00+00:00,account_1_no_decay,54779.57853030712,54801.3170856083,4
2024-12-05 20:40:00+00:00,account_1_no_decay,54779.57853030712,54787.694639765934,4
2024-12-05 20:45:00+00:00,account_1_no_decay,54779.57853030712,54782.586222575024,4
2024-12-05 20:50:00+00:00,account_1_no_decay,54785.549162040756,54781.81640937149,4
2024-12-05 20:55:00+00:00,account_1_no_decay,54785.549162040756,54812.42385396179,4
2024-12-05 21:00:00+00:00,account_1_no_decay,54785.549162040756,54754.89081538276,4
2024-12-05 21:05:00+00:00,account_1_no_decay,54785.549162040756,54813.04676259386,5
2024-12-05 21:10:00+00:00,account_1_no_decay,54785.549162040756,54772.88675609203,5
2024-12-05 21:15:00+00:00,account_1_no_decay,54785.549162040756,54729.39668294737,5
2024-12-05 21:20:00+00:00,account_1_no_decay,54785.549162040756,54668.993049614925,6
2024-12-05 21:25:00+00:00,account_1_no_decay,54785.549162040756,54656.275731206726,6
2024-12-05 21:30:00+00:00,account_1_no_decay,54785.549162040756,54621.449647815476,6
2024-12-05 21:35:00+00:00,account_1_no_decay,54753.10951342852,54641.77187982872,6
2024-12-05 21:40:00+00:00,account_1_no_decay,54753.10951342852,54580.17289621358,6
2024-12-05 21:45:00+00:00,account_1_no_decay,54615.988413426916,54494.60915649774,4
2024-12-05 21:50:00+00:00,account_1_no_decay,54615.988413426916,54444.72675768213,5
2024-12-05 21:55:00+00:00,account_1_no_decay,54547.513940264034,54493.24899457169,4
2024-12-05 22:00:00+00:00,account_1_no_decay,54547.513940264034,54501.483279124106,4
2024-12-05 22:05:00+00:00,account_1_no_decay,54547.513940264034,54554.334998503546,5
2024-12-05 22:10:00+00:00,account_1_no_decay,54479.03200381148,54527.05923141466,4
2024-12-05 22:15:00+00:00,account_1_no_decay,54479.03200381148,54555.800061186244,4
2024-12-05 22:20:00+00:00,account_1_no_decay,54479.03200381148,54481.641578845105,5
2024-12-05 22:25:00+00:00,account_1_no_decay,54479.03200381148,54411.10671523136,5
2024-12-05 22:30:00+00:00,account_1_no_decay,54410.93321380672,54424.13614689598,4
2024-12-05 22:35:00+00:00,account_1_no_decay,54410.93321380672,54387.93216398397,5
2024-12-05 22:40:00+00:00,account_1_no_decay,54410.93321380672,54330.19110309607,5
2024-12-05 22:45:00+00:00,account_1_no_decay,54410.93321380672,54313.56195227742,5
2024-12-05 22:50:00+00:00,account_1_no_decay,54410.93321380672,54502.69786170399,6
2024-12-06 16:35:00+00:00,account_1_no_decay,54486.80752907685,54486.80752907685,0
2024-12-06 16:40:00+00:00,account_1_no_decay,54486.80752907685,54486.80752907685,0
2024-12-06 16:45:00+00:00,account_1_no_decay,54486.80752907685,54486.80752907685,0
2024-12-06 16:50:00+00:00,account_1_no_decay,54486.80752907685,54544.734538970646,1
2024-12-06 16:55:00+00:00,account_1_no_decay,54486.80752907685,54517.42609144928,1
2024-12-06 17:00:00+00:00,account_1_no_decay,54486.80752907685,54550.11347560364,1
2024-12-06 17:05:00+00:00,account_1_no_decay,54486.80752907685,54534.98748826684,2
2024-12-06 17:10:00+00:00,account_1_no_decay,54554.9160384882,54554.9160384882,0
2024-12-06 17:15:00+00:00,account_1_no_decay,54554.9160384882,54554.9160384882,0
2024-12-06 17:20:00+00:00,account_1_no_decay,54554.9160384882,54484.273450385874,1
2024-12-06 17:25:00+00:00,account_1_no_decay,54486.72239344009,54486.72239344009,0
2024-12-06 17:30:00+00:00,account_1_no_decay,54486.72239344009,54486.72239344009,0
2024-12-06 17:35:00+00:00,account_1_no_decay,54486.72239344009,54501.95281856472,1
2024-12-06 17:40:00+00:00,account_1_no_decay,54486.72239344009,54501.12955234177,1
2024-12-06 17:45:00+00:00,account_1_no_decay,54486.72239344009,54504.422617233584,1
